time	EP0	EQ	EP*	[PC]	[PC+]	[Q]	[Q-]	[PC*]	EQh	lambda	Ilamp	Abscoef	k2	Gdiff
1e+08	0	-0.45	-1.4	0.999843	0.000157278	0.999843	0.000157278	5.14008e-12	-0.225001	54392	0.0564	1	1e+08	16000
1e+08	0	-0.45	-1.35	0.999843	0.000157278	0.999843	0.000157278	5.14008e-12	-0.225001	54392	0.0564	1	1e+08	16000
1e+08	0	-0.45	-1.3	0.999843	0.000157278	0.999843	0.000157278	5.14008e-12	-0.225001	54392	0.0564	1	1e+08	16000
1e+08	0	-0.45	-1.25	0.999843	0.000157278	0.999843	0.000157278	5.14008e-12	-0.225001	54392	0.0564	1	1e+08	16000
1e+08	0	-0.45	-1.2	0.999843	0.000157278	0.999843	0.000157278	5.14008e-12	-0.225001	54392	0.0564	1	1e+08	16000
1e+08	0	-0.45	-1.15	0.999843	0.000157278	0.999843	0.000157278	5.14008e-12	-0.225001	54392	0.0564	1	1e+08	16000
1e+08	0	-0.45	-1.1	0.999843	0.000157278	0.999843	0.000157278	5.14008e-12	-0.225001	54392	0.0564	1	1e+08	16000
1e+08	0	-0.45	-1.05	0.999843	0.000157278	0.999843	0.000157278	5.14008e-12	-0.225001	54392	0.0564	1	1e+08	16000
1e+08	0.05	-0.45	-3	0.999941	5.94428e-05	0.999941	5.94428e-05	5.07592e-10	-0.2	54392	0.0564	1	1e+08	16000
1e+08	0.05	-0.45	-2.95	0.999941	5.94428e-05	0.999941	5.94428e-05	5.07592e-10	-0.2	54392	0.0564	1	1e+08	16000
1e+08	0.05	-0.45	-2.9	0.999941	5.94428e-05	0.999941	5.94428e-05	5.07592e-10	-0.2	54392	0.0564	1	1e+08	16000
1e+08	0.05	-0.45	-2.85	0.999941	5.94428e-05	0.999941	5.94428e-05	5.07592e-10	-0.2	54392	0.0564	1	1e+08	16000
1e+08	0.05	-0.45	-2.8	0.999941	5.94428e-05	0.999941	5.94428e-05	5.07592e-10	-0.2	54392	0.0564	1	1e+08	16000
1e+08	0.05	-0.45	-2.75	0.999941	5.94428e-05	0.999941	5.94428e-05	5.07592e-10	-0.2	54392	0.0564	1	1e+08	16000
1e+08	0.05	-0.45	-2.7	0.999941	5.94428e-05	0.999941	5.94428e-05	5.07592e-10	-0.2	54392	0.0564	1	1e+08	16000
1e+08	0.05	-0.45	-2.65	0.999941	5.94428e-05	0.999941	5.94428e-05	5.07592e-10	-0.2	54392	0.0564	1	1e+08	16000
1e+08	0.05	-0.45	-2.6	0.999941	5.94428e-05	0.999941	5.94428e-05	5.07592e-10	-0.2	54392	0.0564	1	1e+08	16000
1e+08	0.05	-0.45	-2.55	0.999941	5.94428e-05	0.999941	5.94428e-05	5.07592e-10	-0.2	54392	0.0564	1	1e+08	16000
1e+08	0.05	-0.45	-2.5	0.999941	5.94428e-05	0.999941	5.94428e-05	5.07592e-10	-0.2	54392	0.0564	1	1e+08	16000
1e+08	0.05	-0.45	-2.45	0.999941	5.94428e-05	0.999941	5.94428e-05	5.07592e-10	-0.2	54392	0.0564	1	1e+08	16000
1e+08	0.05	-0.45	-2.4	0.999941	5.94428e-05	0.999941	5.94428e-05	5.07592e-10	-0.2	54392	0.0564	1	1e+08	16000
1e+08	0.05	-0.45	-2.35	0.999941	5.94428e-05	0.999941	5.94428e-05	5.07592e-10	-0.2	54392	0.0564	1	1e+08	16000
1e+08	0.05	-0.45	-2.3	0.999941	5.94428e-05	0.999941	5.94428e-05	5.07592e-10	-0.2	54392	0.0564	1	1e+08	16000
1e+08	0.05	-0.45	-2.25	0.999941	5.94428e-05	0.999941	5.94428e-05	5.07592e-10	-0.2	54392	0.0564	1	1e+08	16000
1e+08	0.05	-0.45	-2.2	0.999941	5.94428e-05	0.999941	5.94428e-05	5.07591e-10	-0.2	54392	0.0564	1	1e+08	16000
1e+08	0.05	-0.45	-2.15	0.999941	5.94428e-05	0.999941	5.94428e-05	5.07586e-10	-0.2	54392	0.0564	1	1e+08	16000
1e+08	0.05	-0.45	-2.1	0.999941	5.94428e-05	0.999941	5.94428e-05	5.07547e-10	-0.2	54392	0.0564	1	1e+08	16000
1e+08	0.05	-0.45	-2.05	0.999941	5.94429e-05	0.999941	5.94429e-05	5.07311e-10	-0.2	54392	0.0564	1	1e+08	16000
1e+08	0.05	-0.45	-2	0.999941	5.94429e-05	0.999941	5.94429e-05	5.05987e-10	-0.2	54392	0.0564	1	1e+08	16000
1e+08	0.05	-0.45	-1.95	0.999941	5.94432e-05	0.999941	5.94432e-05	4.99267e-10	-0.2	54392	0.0564	1	1e+08	16000
1e+08	0.05	-0.45	-1.9	0.999941	5.94445e-05	0.999941	5.94445e-05	4.69824e-10	-0.200001	54392	0.0564	1	1e+08	16000
1e+08	0.05	-0.45	-1.85	0.999941	5.94486e-05	0.999941	5.94486e-05	3.74475e-10	-0.200002	54392	0.0564	1	1e+08	16000
1e+08	0.05	-0.45	-1.8	0.999941	5.94557e-05	0.999941	5.94557e-05	2.07862e-10	-0.200006	54392	0.0564	1	1e+08	16000
1e+08	0.05	-0.45	-1.75	0.999941	5.94612e-05	0.999941	5.94612e-05	7.97398e-11	-0.200008	54392	0.0564	1	1e+08	16000
1e+08	0.05	-0.45	-1.7	0.999941	5.94635e-05	0.999941	5.94635e-05	2.62801e-11	-0.200009	54392	0.0564	1	1e+08	16000
1e+08	0.05	-0.45	-1.65	0.999941	5.94643e-05	0.999941	5.94643e-05	8.69973e-12	-0.200009	54392	0.0564	1	1e+08	16000
1e+08	0.05	-0.45	-1.6	0.999941	5.94644e-05	0.999941	5.94644e-05	5.13971e-12	-0.200009	54392	0.0564	1	1e+08	16000
1e+08	0.05	-0.45	-1.55	0.999941	5.94644e-05	0.999941	5.94644e-05	5.13971e-12	-0.200009	54392	0.0564	1	1e+08	16000
1e+08	0.05	-0.45	-1.5	0.999941	5.94644e-05	0.999941	5.94644e-05	5.13971e-12	-0.200009	54392	0.0564	1	1e+08	16000
1e+08	0.05	-0.45	-1.45	0.999941	5.94644e-05	0.999941	5.94644e-05	5.13971e-12	-0.200009	54392	0.0564	1	1e+08	16000
1e+08	0.05	-0.45	-1.4	0.999941	5.94644e-05	0.999941	5.94644e-05	5.13971e-12	-0.200009	54392	0.0564	1	1e+08	16000
1e+08	0.05	-0.45	-1.35	0.999941	5.94644e-05	0.999941	5.94644e-05	5.13971e-12	-0.200009	54392	0.0564	1	1e+08	16000
1e+08	0.05	-0.45	-1.3	0.999941	5.94644e-05	0.999941	5.94644e-05	5.13971e-12	-0.200009	54392	0.0564	1	1e+08	16000
1e+08	0.05	-0.45	-1.25	0.999941	5.94644e-05	0.999941	5.94644e-05	5.13971e-12	-0.200009	54392	0.0564	1	1e+08	16000
1e+08	0.05	-0.45	-1.2	0.999941	5.94644e-05	0.999941	5.94644e-05	5.13971e-12	-0.200009	54392	0.0564	1	1e+08	16000
1e+08	0.05	-0.45	-1.15	0.999941	5.94644e-05	0.999941	5.94644e-05	5.13971e-12	-0.200009	54392	0.0564	1	1e+08	16000
1e+08	0.05	-0.45	-1.1	0.999941	5.94644e-05	0.999941	5.94644e-05	5.13971e-12	-0.200009	54392	0.0564	1	1e+08	16000
1e+08	0.05	-0.45	-1.05	0.999941	5.94644e-05	0.999941	5.94644e-05	5.13971e-12	-0.200009	54392	0.0564	1	1e+08	16000
1e+08	0.05	-0.45	-1	0.999941	5.94644e-05	0.999941	5.94644e-05	5.13971e-12	-0.200009	54392	0.0564	1	1e+08	16000
1e+08	0.1	-0.45	-3	0.999978	2.24661e-05	0.999978	2.24661e-05	5.07597e-10	-0.175	54392	0.0564	1	1e+08	16000
1e+08	0.1	-0.45	-2.95	0.999978	2.24661e-05	0.999978	2.24661e-05	5.07597e-10	-0.175	54392	0.0564	1	1e+08	16000
1e+08	0.1	-0.45	-2.9	0.999978	2.24661e-05	0.999978	2.24661e-05	5.07597e-10	-0.175	54392	0.0564	1	1e+08	16000
1e+08	0.1	-0.45	-2.85	0.999978	2.24661e-05	0.999978	2.24661e-05	5.07597e-10	-0.175	54392	0.0564	1	1e+08	16000
1e+08	0.1	-0.45	-2.8	0.999978	2.24661e-05	0.999978	2.24661e-05	5.07597e-10	-0.175	54392	0.0564	1	1e+08	16000
1e+08	0.1	-0.45	-2.75	0.999978	2.24661e-05	0.999978	2.24661e-05	5.07597e-10	-0.175	54392	0.0564	1	1e+08	16000
1e+08	0.1	-0.45	-2.7	0.999978	2.24661e-05	0.999978	2.24661e-05	5.07597e-10	-0.175	54392	0.0564	1	1e+08	16000
1e+08	0.1	-0.45	-2.65	0.999978	2.24661e-05	0.999978	2.24661e-05	5.07597e-10	-0.175	54392	0.0564	1	1e+08	16000
1e+08	0.1	-0.45	-2.6	0.999978	2.24661e-05	0.999978	2.24661e-05	5.07597e-10	-0.175	54392	0.0564	1	1e+08	16000
1e+08	0.1	-0.45	-2.55	0.999978	2.24661e-05	0.999978	2.24661e-05	5.07597e-10	-0.175	54392	0.0564	1	1e+08	16000
1e+08	0.1	-0.45	-2.5	0.999978	2.24661e-05	0.999978	2.24661e-05	5.07597e-10	-0.175	54392	0.0564	1	1e+08	16000
1e+08	0.1	-0.45	-2.45	0.999978	2.24661e-05	0.999978	2.24661e-05	5.07597e-10	-0.175	54392	0.0564	1	1e+08	16000
1e+08	0.1	-0.45	-2.4	0.999978	2.24661e-05	0.999978	2.24661e-05	5.07597e-10	-0.175	54392	0.0564	1	1e+08	16000
1e+08	0.1	-0.45	-2.35	0.999978	2.24661e-05	0.999978	2.24661e-05	5.07597e-10	-0.175	54392	0.0564	1	1e+08	16000
1e+08	0.1	-0.45	-2.3	0.999978	2.24661e-05	0.999978	2.24661e-05	5.07597e-10	-0.175	54392	0.0564	1	1e+08	16000
1e+08	0.1	-0.45	-2.25	0.999978	2.24661e-05	0.999978	2.24661e-05	5.07597e-10	-0.175	54392	0.0564	1	1e+08	16000
1e+08	0.1	-0.45	-2.2	0.999978	2.24661e-05	0.999978	2.24661e-05	5.07596e-10	-0.175	54392	0.0564	1	1e+08	16000
1e+08	0.1	-0.45	-2.15	0.999978	2.24661e-05	0.999978	2.24661e-05	5.0759e-10	-0.175	54392	0.0564	1	1e+08	16000
1e+08	0.1	-0.45	-2.1	0.999978	2.24661e-05	0.999978	2.24661e-05	5.07552e-10	-0.175	54392	0.0564	1	1e+08	16000
1e+08	0.1	-0.45	-2.05	0.999978	2.24662e-05	0.999978	2.24662e-05	5.07316e-10	-0.175	54392	0.0564	1	1e+08	16000
1e+08	0.1	-0.45	-2	0.999978	2.24663e-05	0.999978	2.24663e-05	5.05991e-10	-0.175	54392	0.0564	1	1e+08	16000
1e+08	0.1	-0.45	-1.95	0.999978	2.24671e-05	0.999978	2.24671e-05	4.99271e-10	-0.175001	54392	0.0564	1	1e+08	16000
1e+08	0.1	-0.45	-1.9	0.999978	2.24704e-05	0.999978	2.24704e-05	4.69827e-10	-0.175005	54392	0.0564	1	1e+08	16000
1e+08	0.1	-0.45	-1.85	0.999978	2.24813e-05	0.999978	2.24813e-05	3.74475e-10	-0.175017	54392	0.0564	1	1e+08	16000
1e+08	0.1	-0.45	-1.8	0.999978	2.25002e-05	0.999978	2.25002e-05	2.07859e-10	-0.175039	54392	0.0564	1	1e+08	16000
1e+08	0.1	-0.45	-1.75	0.999978	2.25148e-05	0.999978	2.25148e-05	7.9738e-11	-0.175056	54392	0.0564	1	1e+08	16000
1e+08	0.1	-0.45	-1.7	0.999977	2.25208e-05	0.999977	2.25208e-05	2.62794e-11	-0.175063	54392	0.0564	1	1e+08	16000
1e+08	0.1	-0.45	-1.65	0.999977	2.25228e-05	0.999977	2.25228e-05	8.6995e-12	-0.175065	54392	0.0564	1	1e+08	16000
1e+08	0.1	-0.45	-1.6	0.999977	2.25232e-05	0.999977	2.25232e-05	5.13957e-12	-0.175065	54392	0.0564	1	1e+08	16000
